"","site","pollution","nitrate","temperature","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8"
"1","a","1",16.0071770284761,5.72,40,2,63,34,3,69,24,30
"2","a","1",18.0866435169348,5.75,56,2,64,36,2,80,19,28
"3","a","1",15.4141591683993,6.3,35,1,59,34,5,74,18,22
"4","a","1",17.5575826864125,5.5,50,1,56,33,7,80,27,16
"5","a","1",16.5996426881645,5.83,55,2,52,34,2,73,17,34
"6","a","1",14.1455056510609,6.14,50,1,62,38,7,72,16,18
"7","a","1",11.7323661322478,6.82,48,1,61,36,5,73,12,29
"8","a","1",16.0222242144266,6.69,56,1,56,38,5,82,20,15
"9","a","1",16.0120924005346,6.63,59,1,61,36,6,75,25,27
"10","a","1",13.640593663394,6.65,59,1,59,37,5,73,12,36
"11","b","1",13.7669437556488,7.57,61,1,56,38,6,82,10,23
"12","b","1",14.3219066746483,7.26,71,1,55,38,4,78,16,30
"13","b","1",12.7339303998016,6.83,70,2,59,40,7,75,12,20
"14","b","1",13.5533471603604,7.21,66,1,50,38,5,69,8,24
"15","b","1",13.1414624750106,6.45,75,2,53,40,0,81,31,27
"16","b","1",14.271279109176,6.58,74,0,56,38,5,78,13,13
"17","b","1",13.3374664495281,6.86,66,1,57,40,7,81,9,14
"18","b","1",14.8147547998465,6.47,62,2,55,37,3,80,13,4
"19","b","1",15.5189211321476,6.62,63,2,54,40,5,74,17,26
"20","b","1",15.7546265968642,6.55,57,1,53,41,7,78,6,42
"21","c","0",16.7983766534186,5.69,47,2,74,33,5,62,21,16
"22","c","0",12.7152745686942,5.86,57,1,70,31,3,69,30,20
"23","c","0",14.655814363722,5.82,52,2,74,29,3,64,21,11
"24","c","0",13.135462793583,6.27,57,1,65,32,8,68,4,21
"25","c","0",15.6863312720665,6.47,53,1,63,31,3,65,13,36
"26","c","0",13.6111876191692,5.92,45,1,61,32,3,61,23,11
"27","c","0",16.0531360827995,5.76,52,2,66,33,1,69,24,17
"28","c","0",14.5501519395547,5.96,43,0,63,30,3,62,31,27
"29","c","0",13.634508927303,6.53,51,2,62,34,4,63,10,23
"30","c","0",14.6900518818153,6.29,55,2,67,30,3,66,17,30
"31","d","0",13.3264011234466,6.05,43,2,67,28,6,64,24,12
"32","d","0",12.7680181509299,5.98,46,2,69,32,4,67,18,23
"33","d","0",16.0907735602279,6.53,41,0,69,35,6,70,13,20
"34","d","0",14.4921623917063,6.5,44,1,63,31,7,69,19,16
"35","d","0",16.0457113319691,6.04,46,1,66,30,6,68,12,33
"36","d","0",14.5218635017891,5.63,47,1,65,32,6,68,13,24
"37","d","0",14.539922414353,5.93,44,0,63,31,6,67,9,9
"38","d","0",14.8730992239436,6.18,52,2,67,31,3,73,20,22
"39","d","0",14.3141207295266,5.77,50,2,64,32,8,72,6,15
"40","d","0",13.2265619573336,6.09,51,2,64,34,9,67,23,12
"41","e","1",15.2531149165044,6.09,57,1,57,40,3,71,21,20
"42","e","1",16.2727747494358,6.05,68,1,54,40,2,76,21,30
"43","e","1",14.8128007266498,5.32,56,2,56,42,2,73,13,25
"44","e","1",14.1856183539815,5.62,72,1,50,40,0,79,15,5
"45","e","1",13.7366919262626,6.15,60,1,54,42,2,77,29,31
"46","e","1",15.6848853638373,6.09,56,2,52,41,6,83,14,27
"47","e","1",14.3888842141621,6.86,57,1,56,41,7,70,13,26
"48","e","1",17.0680306918891,6.28,49,1,57,39,9,74,5,13
"49","e","1",18.3658023653262,6.4,59,1,47,39,6,78,13,20
"50","e","1",16.6729943973806,6.49,46,2,53,40,1,82,17,20
"51","f","0",13.1499518765904,6.01,53,1,64,32,5,67,27,15
"52","f","0",13.5013597558088,6.05,50,1,62,33,1,64,6,31
"53","f","0",13.4130933653008,6.2,56,0,66,32,5,73,14,18
"54","f","0",15.3149519647648,5.76,49,2,67,32,3,75,40,21
"55","f","0",17.1202044492554,6.12,53,1,58,31,4,71,27,10
"56","f","0",16.749101853304,5.31,56,2,68,34,4,67,0,20
"57","f","0",15.2838320372103,6.2,55,1,67,32,7,68,6,32
"58","f","0",13.174992641262,6.3,46,1,59,35,4,75,20,30
"59","f","0",16.8199409646363,5.98,50,1,60,33,1,71,14,18
"60","f","0",17.8968823696965,5.33,56,1,61,34,6,65,20,18
